parameter,unit,powai_min,powai_max,powai_mean,vihar_min,vihar_max,vihar_mean,difference_powai_minus_vihar,pct_diff_vs_vihar
Ammonia-nitrogen,mg/L,0.061,0.556,0.2696,0.037,0.332,0.1211,0.14850000000000002,122.6259289843105
Biochemical oxygen demand,mg/L,1.77,4.68,3.05,0.92,2.11,1.46,1.5899999999999999,108.90410958904108
Calcium,mg/L,14.21,31.47,25.55,1.73,7.13,4.29,21.26,495.57109557109567
Chromium,mg/L,0.001,0.004,0.0027,0.0037,0.0197,0.0081,-0.005399999999999999,-66.66666666666666
Copper,mg/L,0.004,0.015,0.0066,0.0027,0.0377,0.0195,-0.0129,-66.15384615384615
Dissolved oxygen,mg/L,3.58,7.19,5.04,5.6,8.8,6.65,-1.6100000000000003,-24.210526315789476
Electrical conductivity,mS/cm,0.3,0.43,0.35,0.1,0.24,0.14,0.20999999999999996,149.99999999999994
Iron,mg/L,0.114,0.485,0.2826,0.106,0.844,0.4512,-0.16859999999999997,-37.36702127659574
Lead,mg/L,0.0035,0.0053,0.0044,0.0038,0.0054,0.0048,-0.0003999999999999993,-8.33333333333332
Magnesium,mg/L,2.78,10.32,6.71,3.91,12.17,6.58,0.1299999999999999,1.9756838905775058
Nickel,mg/L,0.0213,0.0357,0.0312,0.0187,0.043,0.0269,0.004299999999999998,15.985130111524157
Nitrate-nitrogen,mg/L,0.366,0.622,0.4971,0.123,0.321,0.2331,0.264,113.25611325611327
Potassium,mg/L,6.33,11.07,8.36,10.9,12.3,11.33,-2.9700000000000006,-26.213592233009713
Reactive phosphorus,mg/L,0.087,0.21,0.137,0.01,0.182,0.1044,0.032600000000000004,31.226053639846747
Sodium,mg/L,10.13,24.23,20.48,1.47,9.3,5.5,14.98,272.3636363636364
Total alkalinity,mg/L,136.1,159.0,144.95,46.47,66.5,54.06,90.88999999999999,168.12800591934885
Total carbon,mg/L,56.52,88.04,65.89,17.83,32.79,23.39,42.5,181.70158187259514
Total organic carbon,mg/L,24.04,47.85,30.36,6.31,22.57,11.97,18.39,153.63408521303256
Transparency,cm,59.33,84.33,73.87,83.0,109.33,92.65,-18.78,-20.269832703723694
Water temperature,C,20.33,26.33,22.96,21.33,27.67,23.78,-0.8200000000000003,-3.448275862068967
pH,no unit,7.8,8.4,8.01,7.5,7.9,7.71,0.2999999999999998,3.8910505836575857
