system:index,water_area_ha,water_area_m2,year,.geo
0_00000000000000000000,0.12021295838000728,1202.1295838000729,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0864989183329,18.827252166440662],[73.0864989183329,18.827501811586835],[73.08599954264919,18.827501830457347],[73.08599954264919,18.82725209808416],[73.0864989183329,18.827252166440662]]]}"
0_00000000000000000001,0.43517779396206724,4351.777939620672,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.828001228612454],[73.08674865079794,18.829499545436228],[73.0864989183329,18.829499505482847],[73.0864989183329,18.82800127785006],[73.08674865079794,18.828001228612454]]]}"
0_00000000000000000002,0.07195658904430914,719.5658904430913,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.830498397644238],[73.08674865079794,18.830748045352596],[73.0864989183329,18.830748091890623],[73.0864989183329,18.830498356708937],[73.08674865079794,18.830498397644238]]]}"
0_00000000000000000003,0.07199308579388788,719.9308579388788,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.831501638654114],[73.08674865079794,18.831751374797054],[73.0864989183329,18.831751332630017],[73.0864989183329,18.83150168445152],[73.08674865079794,18.831501638654114]]]}"
0_00000000000000000004,0.06405519807104972,640.5519807104972,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.08699838299219,18.832001065400256],[73.08699838299219,18.832250802144888],[73.08674865079794,18.832250759898116],[73.08674865079794,18.832001111118135],[73.08699838299219,18.832001065400256]]]}"
0_00000000000000000005,0.14143799853156594,1414.3799853156593,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0872481149156,18.832250756261086],[73.0872481149156,18.83275023077551],[73.08699838299219,18.83275018844903],[73.08699838299219,18.832250802144888],[73.0872481149156,18.832250756261086]]]}"
0_00000000000000000006,0.14257805242501054,1425.7805242501054,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0920015253486,18.83774890994377],[73.0920015253486,18.83799856797822],[73.09150207154646,18.837998575976364],[73.09150207154646,18.837748830710265],[73.0920015253486,18.83774890994377]]]}"
0_00000000000000000007,0.07191653475293927,719.1653475293926,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09225116178662,18.837998598857816],[73.09225116178662,18.838248257315133],[73.0920015253486,18.83824831391285],[73.0920015253486,18.83799856797822],[73.09225116178662,18.837998598857816]]]}"
0_00000000000000000008,0.062133142924589276,621.3314292458928,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0920015253486,18.83824831391285],[73.0920015253486,18.83849797230264],[73.09175179858309,18.838498019877967],[73.09175179858309,18.838248274011],[73.0920015253486,18.83824831391285]]]}"
0_00000000000000000009,0.0752021382081275,752.021382081275,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.0334981088831,18.838248305504496],[73.0334981088831,18.838497994035095],[73.03324840908267,18.83849795361159],[73.03324840908267,18.838248265327202],[73.0334981088831,18.838248305504496]]]}"
0_0000000000000000000a,0.07187940452126895,718.7940452126895,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.03324840908267,18.83849795361159],[73.03324840908267,18.838752202595288],[73.03299861893522,18.838752153110594],[73.03299861893522,18.838497992079887],[73.03324840908267,18.83849795361159]]]}"
0_0000000000000000000b,0.07195313669541303,719.5313669541304,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.03274891859957,18.838752199315714],[73.03274891859957,18.83900188746646],[73.03249921799639,18.83900184531175],[73.03249921799639,18.83875215740722],[73.03274891859957,18.838752199315714]]]}"
0_0000000000000000000c,0.15450169115253523,1545.0169115253523,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09250088801,18.83875217591935],[73.09275061396221,18.838752127359648],[73.09275061396221,18.839251621951252],[73.09250088801,18.839251582297337],[73.09250088801,18.839001835158076],[73.09225116178662,18.83900188306108],[73.09225116178662,18.838752136344862],[73.09250088801,18.83875217591935]]]}"
0_0000000000000000000d,0.1418011249048569,1418.0112490485692,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.07949819389223,18.839751004875787],[73.07949819389223,18.840000739767518],[73.07899871297893,18.840000702635532],[73.07899871297894,18.83975096823496],[73.07949819389223,18.839751004875787]]]}"
0_0000000000000000000e,0.07523828884947532,752.3828884947533,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.03274891859957,18.840000729549487],[73.03274891859957,18.840250418589005],[73.03249921799639,18.840250375203095],[73.03249921799639,18.840000686409805],[73.03274891859957,18.840000729549487]]]}"
0_0000000000000000000f,0.14401566756005382,1440.1566756005382,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.03249921799639,18.840250375203095],[73.03249921799639,18.840749841025346],[73.03224951712565,18.840749796735523],[73.03224951712565,18.84025041910818],[73.03249921799639,18.840250375203095]]]}"
