system:index,gain_ha,gain_m2,.geo
00000000000000000000,0.0012922148162243412,12.922148162243413,"{""type"":""Polygon"",""coordinates"":[[[73.0864989183329,18.827252166440662],[73.0864989183329,18.827501811586835],[73.08599954264919,18.827501830457347],[73.08599954264919,18.82725209808416],[73.0864989183329,18.827252166440662]]]}"
00000000000000000001,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.828001228612454],[73.08674865079794,18.829499545436228],[73.0864989183329,18.829499505482847],[73.0864989183329,18.82800127785006],[73.08674865079794,18.828001228612454]]]}"
00000000000000000002,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.830498397644238],[73.08674865079794,18.830748045352596],[73.0864989183329,18.830748091890623],[73.0864989183329,18.830498356708937],[73.08674865079794,18.830498397644238]]]}"
00000000000000000003,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.08674865079794,18.831501638654114],[73.08674865079794,18.831751374797054],[73.0864989183329,18.831751332630017],[73.0864989183329,18.83150168445152],[73.08674865079794,18.831501638654114]]]}"
00000000000000000004,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.08699838299219,18.832001065400256],[73.08699838299219,18.832250802144888],[73.08674865079794,18.832250759898116],[73.08674865079794,18.832001111118135],[73.08699838299219,18.832001065400256]]]}"
00000000000000000005,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.0872481149156,18.832250756261086],[73.0872481149156,18.83275023077551],[73.08699838299219,18.83275018844903],[73.08699838299219,18.832250802144888],[73.0872481149156,18.832250756261086]]]}"
00000000000000000006,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.0920015253486,18.83774890994377],[73.0920015253486,18.83799856797822],[73.09150207154646,18.837998575976364],[73.09150207154646,18.837748830710265],[73.0920015253486,18.83774890994377]]]}"
00000000000000000007,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.09225116178662,18.837998598857816],[73.09225116178662,18.838248257315133],[73.0920015253486,18.83824831391285],[73.0920015253486,18.83799856797822],[73.09225116178662,18.837998598857816]]]}"
00000000000000000008,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.0920015253486,18.83824831391285],[73.0920015253486,18.83849797230264],[73.09175179858309,18.838498019877967],[73.09175179858309,18.838248274011],[73.0920015253486,18.83824831391285]]]}"
00000000000000000009,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.0334981088831,18.838248305504496],[73.0334981088831,18.838497994035095],[73.03324840908267,18.83849795361159],[73.03324840908267,18.838248265327202],[73.0334981088831,18.838248305504496]]]}"
