source_title,source_year,record_type,location,observation_year,month,parameter,unit,powai_min,powai_max,powai_mean,vihar_min,vihar_max,vihar_mean,notes,month_num,plot_label
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Conductivity,mhos/cm,170.0,170.0,170.0,,,,Reported as mhos/cm in paper,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Nitrate,mg/L,0.5,0.5,0.5,,,,Single monthly observation from Table 1,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Phosphate,mg/ml (as reported),0.9,0.9,0.9,,,,Units reported as mg/ml in paper,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Sulphate,mg/L,2.1,2.1,2.1,,,,Single monthly observation from Table 1,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Total alkalinity,mg/L,167.0,167.0,167.0,,,,Single monthly observation from Table 1,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Total hardness,mg/L,198.0,198.0,198.0,,,,Single monthly observation from Table 1,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Transparency,cm,94.0,94.0,94.0,,,,Single monthly observation from Table 1,10,Oct-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Conductivity,mhos/cm,169.0,169.0,169.0,,,,Reported as mhos/cm in paper,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Nitrate,mg/L,0.9,0.9,0.9,,,,Single monthly observation from Table 1,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Phosphate,mg/ml (as reported),0.7,0.7,0.7,,,,Units reported as mg/ml in paper,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Sulphate,mg/L,2.4,2.4,2.4,,,,Single monthly observation from Table 1,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Total alkalinity,mg/L,159.0,159.0,159.0,,,,Single monthly observation from Table 1,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Total hardness,mg/L,185.0,185.0,185.0,,,,Single monthly observation from Table 1,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Transparency,cm,89.0,89.0,89.0,,,,Single monthly observation from Table 1,11,Nov-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Conductivity,mhos/cm,148.0,148.0,148.0,,,,Reported as mhos/cm in paper,12,Dec-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Nitrate,mg/L,1.2,1.2,1.2,,,,Single monthly observation from Table 1,12,Dec-2016
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Phosphate,mg/ml (as reported),0.4,0.4,0.4,,,,Units reported as mg/ml in paper,12,Dec-2016
